pc_time,esp_time_ms,latency_ms,jitter_ms,packet_loss_percent,throughput_mbps,rssi_dbm,label
2026-07-29 19:27:26,2302209,109.75,154.89,0.0,0.28,-33,normal
2026-07-29 19:51:43,20493,34.95,69.36,0.0,2.29,-37,normal
2026-07-29 19:52:07,44482,3.5,1.46,0.0,2.19,-44,normal
2026-07-29 19:52:30,68141,3.29,1.08,0.0,2.23,-37,normal
2026-07-29 19:52:53,91357,3.18,1.1,0.0,2.27,-33,normal
2026-07-29 19:53:17,114769,3.85,2.07,0.0,2.25,-33,normal
2026-07-29 19:53:40,137986,3.73,1.31,0.0,2.28,-32,normal
2026-07-29 19:54:03,161206,4.9,3.44,0.0,2.28,-32,normal
2026-07-29 19:54:27,184570,3.78,2.19,0.0,2.25,-33,normal
2026-07-29 19:54:50,208146,4.16,3.05,0.0,2.24,-36,normal
2026-07-29 20:12:25,1262478,3.23,1.27,0.0,2.19,-36,normal
2026-07-29 20:13:23,1320610,4.8,2.11,0.0,0.76,-36,normal
2026-07-29 20:13:46,1344020,3.52,1.29,0.0,2.25,-36,normal
2026-07-29 20:14:10,1367668,3.84,2.2,0.0,2.22,-38,normal
2026-07-29 20:14:38,1395700,4.44,2.29,0.0,1.79,-54,normal
2026-07-29 20:15:07,1425058,5.06,3.45,0.0,1.69,-39,normal
2026-07-29 20:15:31,1448630,4.9,2.87,0.0,2.23,-39,normal
2026-07-29 20:15:55,1472974,4.63,2.46,0.0,2.14,-51,normal
2026-07-29 20:16:19,1496725,4.78,3.03,0.0,2.21,-36,normal
2026-07-29 20:16:42,1520224,3.66,1.14,0.0,2.24,-36,normal
2026-07-29 20:17:11,1548991,4.78,3.66,0.0,1.73,-36,normal
2026-07-29 20:17:45,1583412,3.35,1.21,0.0,1.39,-33,normal
2026-07-29 20:18:09,1607223,5.26,2.43,0.0,2.2,-33,normal
2026-07-29 20:18:33,1630925,4.19,1.46,0.0,2.23,-33,normal
2026-07-29 20:18:58,1655576,4.43,2.31,0.0,2.1,-34,normal
2026-07-29 20:19:28,1685848,4.58,2.6,0.0,1.64,-34,normal
2026-07-29 20:19:51,1709434,4.67,2.74,0.0,2.23,-30,normal
2026-07-29 20:20:15,1732950,4.49,3.12,0.0,2.24,-31,normal
2026-07-29 20:20:39,1756480,3.34,1.2,0.0,2.23,-32,normal
2026-07-29 20:21:02,1780338,4.57,3.69,0.0,2.2,-31,normal
2026-07-29 20:21:28,1805545,5.92,5.87,0.0,2.04,-34,normal
2026-07-29 20:21:52,1829658,4.73,2.9,0.0,2.18,-31,normal
2026-07-29 20:22:18,1855734,4.15,1.57,0.0,1.97,-33,normal
2026-07-29 20:22:42,1880221,6.85,5.31,0.0,2.14,-32,normal
2026-07-29 20:23:06,1903787,4.57,4.14,0.0,2.23,-32,normal
2026-07-29 20:23:29,1927089,5.19,3.7,0.0,2.27,-32,normal
2026-07-29 20:23:53,1950820,5.29,3.43,0.0,2.21,-34,normal
2026-07-29 20:24:18,1975944,5.43,4.68,0.0,2.06,-34,normal
2026-07-29 20:24:43,2001441,5.91,4.14,0.0,2.02,-32,normal
2026-07-29 20:25:07,2025379,3.74,1.99,0.0,2.18,-32,normal
2026-07-29 20:25:31,2049321,11.28,13.01,0.0,2.19,-32,normal
2026-07-29 20:25:55,2073482,3.97,1.21,0.0,2.16,-33,normal
2026-07-29 20:26:20,2097850,8.45,9.02,0.0,2.14,-32,normal
2026-07-29 20:26:43,2121167,3.84,1.74,0.0,2.26,-32,normal
2026-07-29 20:27:07,2144626,4.55,2.06,0.0,2.24,-32,normal
2026-07-29 20:27:30,2168027,3.96,2.71,0.0,2.25,-32,normal
2026-07-29 20:27:54,2191566,4.13,2.33,0.0,2.23,-32,normal
2026-07-29 20:28:17,2214759,3.63,1.49,0.0,2.28,-33,normal
2026-07-29 20:28:40,2238059,13.73,18.2,0.0,2.28,-33,normal
